ticker,market,name,theme,asset_type,probe_price,core_price,strong_price,currency,basis_type,basis_reason,locked,status,last_review_date,next_review_date,review_note
AVAV,US,AeroVironment,防衛ドローン,stock,150.0,130.0,110.0,USD,初期基準案_v1.0,防衛ドローン本命候補。高成長・高ボラのため押し目幅を広めに設定。,True,locked_v1,2026-06-27,2026-07-01,
AXON,US,Axon Enterprise,公共安全AI・防衛,stock,430.0,385.0,340.0,USD,分析レビュー修正案_v1.1,公共安全AI/防衛の質が高く、完全な暴落待ちにしすぎると機会損失が大きい。高品質プレミアムを一部許容。,True,proposed_v1_1,2026-06-27,2026-07-01,
AUR,US,Aurora Innovation,自動運転・物流,stock,5.0,4.0,3.0,USD,分析レビュー修正案_v1.1,自動運転物流は将来性が大きい一方で赤字・実装リスクが高い。打診を少し深くする。,True,proposed_v1_1,2026-06-27,2026-07-01,
TMDX,US,TransMedics,移植医療,stock,100.0,85.0,70.0,USD,初期基準案_v1.0,移植医療成長株。決算変動が大きいため段階買い。,True,locked_v1,2026-06-27,2026-07-01,
NOW,US,ServiceNow,業務AI・SaaS,stock,90.0,80.0,70.0,USD,初期基準案_v1.0,分割調整価格前提。分割/価格桁は要ヘルスチェック。 / v1.0基準は分割調整/価格スケール確認が前提。NOWは価格桁の異常値検出を必ず通す。,True,locked_v1,2026-06-27,2026-07-01,
RDW,US,Redwire,宇宙インフラ,stock,16.0,13.0,10.0,USD,既存基準移植,既存基準：打診16以下、本命13以下。宇宙インフラ高ボラ。,True,locked_v1,2026-06-27,2026-07-01,
TRMB,US,Trimble,測位・建設DX,stock,52.0,45.0,39.0,USD,既存基準移植,既存基準：強く買いたい38〜40。,True,locked_v1,2026-06-27,2026-07-01,
VEEV,US,Veeva Systems,ライフサイエンスSaaS,stock,165.0,145.0,127.5,USD,既存基準移植,既存基準：強く買いたい125〜130。,True,locked_v1,2026-06-27,2026-07-01,
PYPL,US,PayPal,決済・フィンテック,stock,45.0,40.0,35.0,USD,既存基準移植,2026/06/12側の既存基準を優先。低期待バリュー寄り。,True,locked_v1,2026-06-27,2026-07-01,
TEM,US,Tempus AI,AI医療・診断,stock,42.0,34.0,26.0,USD,分析レビュー修正案_v1.1,AI医療の将来性は高いが、IPO後の期待先行と業績検証不足を考え、本命を深める。,True,proposed_v1_1,2026-06-27,2026-07-01,
FICO,US,Fair Isaac,信用スコア・分析,stock,1250.0,1100.0,950.0,USD,分析レビュー修正案_v1.1,非常に良い企業だが、バリュエーションが高い。平均目標株価に近い水準で買うより、明確なPER圧縮時に限定。,True,proposed_v1_1,2026-06-27,2026-07-01,
AAOI,US,Applied Optoelectronics,光通信・CPO周辺,stock,55.0,42.0,32.0,USD,分析レビュー修正案_v1.1,光通信/CPOはテーマ性が強いが、AAOIは景気循環・需給・期待剥落の影響が大きい。v1.0は早すぎる。,True,proposed_v1_1,2026-06-27,2026-07-01,
OUST,US,Ouster,LiDAR・ロボティクス,stock,20.0,15.0,11.0,USD,分析レビュー修正案_v1.1,LiDARは採用期待と需給で大きく振れる。黒字定着前は安全域を広く取る。,True,proposed_v1_1,2026-06-27,2026-07-01,
APH,US,Amphenol,コネクタ・AIインフラ,stock,85.0,75.0,65.0,USD,初期基準案_v1.0,AIインフラ部材の高品質枠。,True,locked_v1,2026-06-27,2026-07-01,
ASPI,US,ASP Isotopes,核燃料・同位体,stock,5.5,4.2,3.2,USD,分析レビュー修正案_v1.1,同位体・核燃料は夢があるが材料株。ニュースで跳ねる一方、失望時の下げも深い。,True,proposed_v1_1,2026-06-27,2026-07-01,
NBIS,US,Nebius,AIクラウド,stock,65.0,52.0,40.0,USD,分析レビュー修正案_v1.1,AIクラウドは大テーマだが、期待先行・資金調達・競争リスクがある。v1.0はやや早い。,True,proposed_v1_1,2026-06-27,2026-07-01,
EWY,US,iShares MSCI South Korea ETF,韓国ETF・半導体,etf,70.0,65.0,60.0,USD,初期基準案_v1.0,韓国半導体ETF。ETFのため個別株より浅め。,True,locked_v1,2026-06-27,2026-07-01,
ISRG,US,Intuitive Surgical,医療ロボット,stock,480.0,430.0,380.0,USD,分析レビュー修正案_v1.1,医療ロボットの質・収益性・参入障壁を考えると、あまり深すぎる基準では拾えない可能性がある。,True,proposed_v1_1,2026-06-27,2026-07-01,
SPGI,US,S&P Global,指数・格付け,stock,450.0,410.0,370.0,USD,初期基準案_v1.0,指数・格付け高品質。,True,locked_v1,2026-06-27,2026-07-01,
MELI,US,MercadoLibre,中南米EC・決済,stock,1900.0,1700.0,1500.0,USD,初期基準案_v1.0,中南米EC。高品質だが為替/金利感応。,True,locked_v1,2026-06-27,2026-07-01,
TMO,US,Thermo Fisher,ライフサイエンス,stock,460.0,420.0,380.0,USD,初期基準案_v1.0,ライフサイエンス高品質。,True,locked_v1,2026-06-27,2026-07-01,
META,US,Meta Platforms,AI・広告・SNS,stock,620.0,560.0,500.0,USD,初期基準案_v1.0,AI大型株。大型のため過度に深くしすぎない。,True,locked_v1,2026-06-27,2026-07-01,
IONQ,US,IonQ,量子コンピュータ,stock,32.0,25.0,18.0,USD,分析レビュー修正案_v1.1,量子は将来性が大きいが、収益化まで遠く、テーマ相場の反動が大きい。,True,proposed_v1_1,2026-06-27,2026-07-01,
RGTI,US,Rigetti,量子コンピュータ,stock,10.0,7.0,5.0,USD,分析レビュー修正案_v1.1,量子の中でもより投機色が強い。買い場は深く、サイズも小さくすべき。,True,proposed_v1_1,2026-06-27,2026-07-01,
SDGR,US,Schrodinger,AI創薬,stock,15.0,12.0,10.0,USD,既存基準移植,既存基準：打診15以下、本命12以下。AI創薬。,True,locked_v1,2026-06-27,2026-07-01,
RXRX,US,Recursion,AI創薬,stock,3.5,2.8,2.2,USD,既存基準移植,既存基準：打診3.5以下、本命2.8以下。AI創薬高ボラ。,True,locked_v1,2026-06-27,2026-07-01,
QCOM,US,Qualcomm,半導体・エッジAI,stock,150.0,135.0,120.0,USD,初期基準案_v1.0,半導体・エッジAI。成熟株として本命はPER圧縮時。,True,locked_v1,2026-06-27,2026-07-01,
HSAI,US,Hesai,LiDAR,stock,14.0,11.0,8.0,USD,初期基準案_v1.0,LiDAR中国株。地政学/需給リスクを反映。,True,locked_v1,2026-06-27,2026-07-01,
PL,US,Planet Labs,宇宙データ,stock,4.5,3.5,2.7,USD,分析レビュー修正案_v1.1,宇宙データは面白いが、赤字・成長鈍化・希薄化リスクを考えると深めが妥当。,True,proposed_v1_1,2026-06-27,2026-07-01,
V,US,Visa,決済,stock,310.0,300.0,275.0,USD,既存基準移植,既存基準：高品質決済。,True,locked_v1,2026-06-27,2026-07-01,
VRTX,US,Vertex Pharma,医薬,stock,420.0,380.0,340.0,USD,初期基準案_v1.0,医薬高品質。,True,locked_v1,2026-06-27,2026-07-01,
DIS,US,Disney,メディア・IP,stock,100.0,90.0,82.0,USD,既存基準移植,既存基準：強く買いたい80台前半。,True,locked_v1,2026-06-27,2026-07-01,
KVYO,US,Klaviyo,マーケSaaS,stock,15.0,12.0,10.0,USD,既存基準移植,既存基準：本命12以下。,True,locked_v1,2026-06-27,2026-07-01,
DKNG,US,DraftKings,スポーツベッティング,stock,32.0,28.0,24.0,USD,初期基準案_v1.0,スポーツベッティング。景気/規制感応。,True,locked_v1,2026-06-27,2026-07-01,
CRSP,US,CRISPR Therapeutics,遺伝子編集,stock,45.0,36.0,28.0,USD,初期基準案_v1.0,遺伝子編集。臨床/材料高ボラ。,True,locked_v1,2026-06-27,2026-07-01,
BEAM,US,Beam Therapeutics,遺伝子編集,stock,26.5,22.0,18.0,USD,既存基準移植,既存基準：打診25〜28、本命22以下、強く10ドル台後半。,True,locked_v1,2026-06-27,2026-07-01,
ETN,US,Eaton,電力インフラ,stock,330.0,290.0,250.0,USD,初期基準案_v1.0,電力インフラ高品質。AI電力テーマで割高化しやすい。,True,locked_v1,2026-06-27,2026-07-01,
MSTR,US,MicroStrategy,Bitcoin連動,stock,240.0,190.0,150.0,USD,条件付き基準案_v1.1,単純な株価基準だけでは危険。BTCトレンドとmNAV/プレミアム確認を必須条件にする。,True,proposed_v1_1,2026-06-27,2026-07-01,
POET,US,POET Technologies,光電融合・CPO,stock,3.8,2.8,2.0,USD,分析レビュー修正案_v1.1,光電融合/CPOの夢は大きいが、超小型・商用化リスクが高い。,True,proposed_v1_1,2026-06-27,2026-07-01,
KITT,US,Nauticus Robotics,海洋ロボ・超小型,stock,1.2,0.8,0.5,USD,分析レビュー修正案_v1.1,超小型・低流動性。投資ではなく投機枠。v1.0でも甘い。,True,proposed_v1_1,2026-06-27,2026-07-01,
AXTI,US,AXT,化合物半導体,stock,2.5,2.0,1.5,USD,分析レビュー修正案_v1.1,化合物半導体の周期性と小型株リスクを考慮。,True,proposed_v1_1,2026-06-27,2026-07-01,
COHR,US,Coherent,光通信・CPO,stock,75.0,60.0,48.0,USD,分析レビュー修正案_v1.1,光通信/CPOは有望だが、COHRは循環・決算変動が大きい。,True,proposed_v1_1,2026-06-27,2026-07-01,
ANET,US,Arista Networks,AIネットワーク,stock,100.0,85.0,70.0,USD,分析レビュー修正案_v1.1,AIネットワーク高品質。強い企業は深すぎる基準だと拾えないため少し許容。,True,proposed_v1_1,2026-06-27,2026-07-01,
DDOG,US,Datadog,監視SaaS,stock,125.0,105.0,85.0,USD,初期基準案_v1.0,監視SaaS。,True,locked_v1,2026-06-27,2026-07-01,
SNOW,US,Snowflake,データクラウド,stock,180.0,150.0,125.0,USD,初期基準案_v1.0,データクラウド。,True,locked_v1,2026-06-27,2026-07-01,
OPTX,US,Syntec Optics,精密光学・フォトニクス,stock,1.2,0.8,0.5,USD,分析レビュー修正案_v1.1,精密光学の夢はあるが、超小型・流動性・業績検証の弱さを重く見る。,True,proposed_v1_1,2026-06-27,2026-07-01,
AEM,US,Agnico Eagle Mines,金鉱株,stock,120.0,105.0,90.0,USD,初期基準案_v1.0,金鉱株。守り枠。金価格との連動を考慮。,True,locked_v1,2026-06-27,2026-07-01,
ZETA,US,Zeta Global,マーケAI,stock,13.0,10.0,8.0,USD,初期基準案_v1.0,保有・マーケAI。高ボラ成長株。,True,locked_v1,2026-06-27,2026-07-01,
SPCX,US,SpaceX/SPCX,SpaceX要確認,watch_only,,,,,特殊確認,実在する米国取引ティッカー確認前。価格を作らない。,True,watch_only,2026-06-27,2026-07-01,
7974.T,JP,任天堂,ゲーム・IP,stock,10000.0,9000.0,8000.0,JPY,初期基準案_v1.0,任天堂。IP高品質だが期待先行時は追わない。,True,locked_v1,2026-06-27,2026-07-01,
6383.T,JP,ダイフク,物流自動化,stock,3000.0,2700.0,2400.0,JPY,初期基準案_v1.0,ダイフク。物流自動化。,True,locked_v1,2026-06-27,2026-07-01,
5401.T,JP,日本製鉄,鉄鋼,stock,3000.0,2700.0,2400.0,JPY,初期基準案_v1.0,日本製鉄。大型バリュー。,True,locked_v1,2026-06-27,2026-07-01,
4901.T,JP,富士フイルム,ヘルスケア・素材,stock,3000.0,2700.0,2400.0,JPY,初期基準案_v1.0,富士フイルム。ヘルスケア・素材。,True,locked_v1,2026-06-27,2026-07-01,
3407.T,JP,旭化成,総合化学,stock,950.0,850.0,760.0,JPY,初期基準案_v1.0,旭化成。総合化学バリュー。,True,locked_v1,2026-06-27,2026-07-01,
3402.T,JP,東レ,素材,stock,850.0,760.0,680.0,JPY,初期基準案_v1.0,東レ。素材バリュー。,True,locked_v1,2026-06-27,2026-07-01,
3405.T,JP,クラレ,高機能化学,stock,1550.0,1400.0,1250.0,JPY,既存基準移植,既存基準：クラレ。,True,locked_v1,2026-06-27,2026-07-01,
2871.T,JP,ニチレイ,食品・冷凍物流,stock,1650.0,1500.0,1350.0,JPY,価格スケール修正_v1.2,v1.1の3300/3000/2700は旧価格感が残った可能性が高いため、価格スケールを半分に補正。食品・低温物流の安定株として、追い買いではなく割安時のみ段階買い。,True,locked_v1_2,2026-06-27,2026-07-01,ユーザー指摘により再監査。ニチレイは価格スケール修正済み。
8601.T,JP,大和証券G,金融・証券,stock,900.0,800.0,700.0,JPY,分析レビュー修正案_v1.1,証券株は市況循環の影響が大きい。高配当でもピーク時に追わない。,True,proposed_v1_1,2026-06-27,2026-07-01,
8410.T,JP,セブン銀行,銀行・ATM,stock,290.0,260.0,230.0,JPY,初期基準案_v1.0,セブン銀行。安定バリュー。,True,locked_v1,2026-06-27,2026-07-01,
6902.T,JP,デンソー,自動車部品,stock,2000.0,1800.0,1600.0,JPY,初期基準案_v1.0,デンソー。自動車部品。,True,locked_v1,2026-06-27,2026-07-01,
6758.T,JP,ソニーG,エンタメ・半導体,stock,3400.0,3200.0,3000.0,JPY,既存基準移植,既存基準：ソニーG。,True,locked_v1,2026-06-27,2026-07-01,
5020.T,JP,ENEOS,エネルギー,stock,850.0,780.0,700.0,JPY,既存基準移植,既存基準：ENEOS。Step3の1250/1150/1050は不採用。,True,locked_v1,2026-06-27,2026-07-01,
4063.T,JP,信越化学,半導体材料・塩ビ,stock,4900.0,4500.0,4100.0,JPY,既存基準移植,既存基準：信越化学。,True,locked_v1,2026-06-27,2026-07-01,
4042.T,JP,東ソー,化学,stock,2650.0,2400.0,2200.0,JPY,既存基準移植,既存基準：東ソー。,True,locked_v1,2026-06-27,2026-07-01,
1911.T,JP,住友林業,住宅・木材,stock,1300.0,1150.0,1000.0,JPY,既存基準移植,既存基準：住友林業 打診1300、本命1150。,True,locked_v1,2026-06-27,2026-07-01,
1928.T,JP,積水ハウス,住宅,stock,3200.0,2900.0,2600.0,JPY,初期基準案_v1.0,積水ハウス。住宅・高配当。,True,locked_v1,2026-06-27,2026-07-01,
6326.T,JP,クボタ,農機・水インフラ,stock,2000.0,1800.0,1600.0,JPY,初期基準案_v1.0,クボタ。農機・水インフラ。,True,locked_v1,2026-06-27,2026-07-01,
7267.T,JP,ホンダ,自動車,stock,1450.0,1300.0,1150.0,JPY,既存基準移植,既存基準：ホンダ 打診1450、本命1300。,True,locked_v1,2026-06-27,2026-07-01,
6501.T,JP,日立,インフラ・DX,stock,3500.0,3200.0,2900.0,JPY,初期基準案_v1.0,日立。大型成長。,True,locked_v1,2026-06-27,2026-07-01,
9861.T,JP,吉野家HD,外食,stock,2600.0,2300.0,2000.0,JPY,分析レビュー修正案_v1.1,外食は原価・人件費・為替の影響を受ける。優待人気で高くなりやすく、深めが妥当。,True,proposed_v1_1,2026-06-27,2026-07-01,
7821.T,JP,前田工繊,防災・土木資材,stock,2000.0,1800.0,1600.0,JPY,既存基準移植,既存基準：前田工繊 打診2000、本命1800。,True,locked_v1,2026-06-27,2026-07-01,
1377.T,JP,サカタのタネ,種苗,stock,3400.0,3000.0,2700.0,JPY,初期基準案_v1.0,サカタのタネ。種苗。,True,locked_v1,2026-06-27,2026-07-01,
6287.T,JP,サトーHD,自動認識,stock,2300.0,2100.0,1900.0,JPY,既存基準移植,既存基準：サトーHD。,True,locked_v1,2026-06-27,2026-07-01,
4368.T,JP,扶桑化学,半導体材料,stock,4000.0,3600.0,3200.0,JPY,初期基準案_v1.0,扶桑化学。半導体材料・旧評価→新評価候補。,True,locked_v1,2026-06-27,2026-07-01,
9432.T,JP,NTT/日本電信電話,通信,stock,145.0,135.0,125.0,JPY,初期基準案_v1.0,NTT。通信・高配当。,True,locked_v1,2026-06-27,2026-07-01,
