ticker,market,name,theme,asset_type,priority,watch_reason,active,memo
AVAV,US,AeroVironment,防衛ドローン,stock,high,防衛ドローン本命候補,true,
AXON,US,Axon Enterprise,公共安全AI・防衛,stock,high,高品質グロース,true,
AUR,US,Aurora Innovation,自動運転・物流,stock,high,自動運転物流テーマ,true,
TMDX,US,TransMedics,移植医療,stock,medium,移植医療成長株,true,
NOW,US,ServiceNow,業務AI・SaaS,stock,high,業務AIコア,true,分割調整注意
RDW,US,Redwire,宇宙インフラ,stock,high,宇宙インフラ高ボラ,true,
TRMB,US,Trimble,測位・建設DX,stock,medium,測位・建設DX,true,
VEEV,US,Veeva Systems,ライフサイエンスSaaS,stock,medium,高品質SaaS,true,
PYPL,US,PayPal,決済・フィンテック,stock,high,低期待バリュー寄り,true,
TEM,US,Tempus AI,AI医療・診断,stock,high,AIヘルスケア,true,
FICO,US,Fair Isaac,信用スコア・分析,stock,medium,高品質モノポリー,true,
AAOI,US,Applied Optoelectronics,光通信・CPO周辺,stock,high,CPO/光通信高ボラ,true,
OUST,US,Ouster,LiDAR・ロボティクス,stock,medium,LiDARロボティクス,true,
APH,US,Amphenol,コネクタ・AIインフラ,stock,medium,AIインフラ部材,true,
ASPI,US,ASP Isotopes,核燃料・同位体,stock,medium,同位体・核燃料,true,
NBIS,US,Nebius,AIクラウド,stock,high,AIクラウド,true,
EWY,US,iShares MSCI South Korea ETF,韓国ETF・半導体,etf,medium,韓国半導体ETF,true,
ISRG,US,Intuitive Surgical,医療ロボット,stock,high,医療ロボット高品質,true,
SPGI,US,S&P Global,指数・格付け,stock,medium,指数・格付け高品質,true,
MELI,US,MercadoLibre,中南米EC・決済,stock,medium,中南米EC,true,
TMO,US,Thermo Fisher,ライフサイエンス,stock,medium,ライフサイエンスコア,true,
META,US,Meta Platforms,AI・広告・SNS,stock,high,AI大型株,true,
IONQ,US,IonQ,量子コンピュータ,stock,high,量子夢枠,true,
RGTI,US,Rigetti,量子コンピュータ,stock,high,量子高ボラ,true,
SDGR,US,Schrodinger,AI創薬,stock,medium,AI創薬,true,
RXRX,US,Recursion,AI創薬,stock,medium,AI創薬,true,
QCOM,US,Qualcomm,半導体・エッジAI,stock,medium,エッジAI半導体,true,
HSAI,US,Hesai,LiDAR,stock,medium,LiDAR中国株,true,
PL,US,Planet Labs,宇宙データ,stock,medium,宇宙データ,true,
V,US,Visa,決済,stock,medium,決済高品質,true,
VRTX,US,Vertex Pharma,医薬,stock,medium,医薬高品質,true,
DIS,US,Disney,メディア・IP,stock,medium,IP・メディア再評価,true,
KVYO,US,Klaviyo,マーケSaaS,stock,medium,マーケSaaS,true,
DKNG,US,DraftKings,スポーツベッティング,stock,medium,スポーツベッティング,true,
CRSP,US,CRISPR Therapeutics,遺伝子編集,stock,medium,遺伝子編集,true,
BEAM,US,Beam Therapeutics,遺伝子編集,stock,medium,遺伝子編集,true,
ETN,US,Eaton,電力インフラ,stock,medium,電力インフラ,true,
MSTR,US,MicroStrategy,Bitcoin連動,stock,medium,BTC連動,true,BTC条件併用
POET,US,POET Technologies,光電融合・CPO,stock,medium,光電融合高ボラ,true,
KITT,US,Nauticus Robotics,海洋ロボ・超小型,stock,low,海洋ロボ超小型,true,
AXTI,US,AXT,化合物半導体,stock,medium,化合物半導体,true,異常値チェック
COHR,US,Coherent,光通信・CPO,stock,medium,光通信・CPO,true,
ANET,US,Arista Networks,AIネットワーク,stock,high,AIネットワーク,true,
DDOG,US,Datadog,監視SaaS,stock,medium,監視SaaS,true,
SNOW,US,Snowflake,データクラウド,stock,medium,データクラウド,true,
OPTX,US,Syntec Optics,精密光学・フォトニクス,stock,low,精密光学・超小型,true,
AEM,US,Agnico Eagle Mines,金鉱株,stock,medium,守りの金鉱株,true,
ZETA,US,Zeta Global,マーケAI,stock,high,保有・マーケAI,true,
SPCX,US,SpaceX/SPCX,SpaceX要確認,watch_only,special,実在する米国取引ティッカー確認後のみ有効化,false,価格を作らない
7974.T,JP,任天堂,ゲーム・IP,stock,high,日本株コア候補,true,
6383.T,JP,ダイフク,物流自動化,stock,medium,物流自動化,true,
5401.T,JP,日本製鉄,鉄鋼,stock,medium,大型バリュー,true,
4901.T,JP,富士フイルム,ヘルスケア・素材,stock,medium,ヘルスケア素材,true,
3407.T,JP,旭化成,総合化学,stock,medium,総合化学,true,
3402.T,JP,東レ,素材,stock,medium,素材バリュー,true,
3405.T,JP,クラレ,高機能化学,stock,high,清原式寄り化学,true,
2871.T,JP,ニチレイ,食品・冷凍物流,stock,medium,食品・冷凍物流,true,
8601.T,JP,大和証券G,金融・証券,stock,medium,高配当金融,true,
8410.T,JP,セブン銀行,銀行・ATM,stock,medium,銀行・ATM,true,
6902.T,JP,デンソー,自動車部品,stock,medium,自動車部品,true,
6758.T,JP,ソニーG,エンタメ・半導体,stock,high,日本株コア候補,true,
5020.T,JP,ENEOS,エネルギー,stock,medium,高配当エネルギー,true,
4063.T,JP,信越化学,半導体材料・塩ビ,stock,high,高品質化学コア,true,
4042.T,JP,東ソー,化学,stock,high,清原式寄り化学バリュー,true,
1911.T,JP,住友林業,住宅・木材,stock,medium,住宅・木材,true,
1928.T,JP,積水ハウス,住宅,stock,medium,住宅・高配当,true,
6326.T,JP,クボタ,農機・水インフラ,stock,medium,農機・水インフラ,true,
7267.T,JP,ホンダ,自動車,stock,medium,大型自動車,true,
6501.T,JP,日立,インフラ・DX,stock,high,日本大型成長,true,
9861.T,JP,吉野家HD,外食,stock,low,外食,true,
7821.T,JP,前田工繊,防災・土木資材,stock,medium,防災・土木資材,true,
1377.T,JP,サカタのタネ,種苗,stock,medium,種苗,true,
6287.T,JP,サトーHD,自動認識,stock,medium,自動認識,true,
4368.T,JP,扶桑化学,半導体材料,stock,high,半導体材料・旧評価→新評価候補,true,
9432.T,JP,NTT/日本電信電話,通信,stock,medium,通信・高配当,true,
